_sha,_status,_applied_params_hash,_residual,_elapsed_ms,_num_variables,_num_constraints,_num_conflicts,_num_branches,_num_binary_propagations,_num_integer_propagations,_num_restarts,n_vars,n_cons,n_enforce,linear_coef_max,linear_terms_max,linear_terms_total,domain_size_max,domain_size_median,wide_int_count,domain_max,has_objective,objective_terms,n_assumptions,n_search_strategy,kind_linear,kind_bool_or,kind_bool_and,kind_at_most_one,kind_exactly_one,kind_bool_xor,kind_all_diff,kind_element,kind_circuit,kind_routes,kind_table,kind_automaton,kind_inverse,kind_reservoir,kind_interval,kind_no_overlap,kind_no_overlap_2d,kind_cumulative,kind_lin_max,kind_int_div,kind_int_mod,kind_int_prod
9c28c175d2cd7871aaff707f1cdbb5132941625137f09fd93fa2116fc9b3470e,OPTIMAL,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,1.2970725496824338,5307350.0,20881,236975,949858,3779328,1284803830,336295337,3742,97998,236975,194373,1.0,191,172845,2000000001.0,2.0,6913,1000000000,False,0,0,0,109273,77125,49850,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ea6187c13380778e85ba5d23d7e056bb2abb811dea32e9675213085586a23a06,OPTIMAL,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,1.2433334003277663,4689630.0,20881,236975,1180208,4605661,1460251131,383038351,5302,97998,236975,194373,1.0,191,172845,2000000001.0,2.0,6913,1000000000,False,0,0,0,109273,77125,49850,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64e85d066f667ad5185c60b610746320099aafce4e68f71ded08c02a10c15ec2,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,1.2381431698374108,5707370.0,20867,246453,1489558,5574793,1928527875,481837838,6126,102050,246453,203246,1.0,191,182197,2000000001.0,2.0,6913,1000000000,False,0,0,0,115431,79440,50855,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5651d412c1f0510a7ff1b43da9e22935ec2c616c7ad6d2f15b7d8cb00930480c,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,1.133091777448728,4481100.0,20867,246453,891686,3512483,1239961259,304654974,3452,102050,246453,203246,1.0,191,182197,2000000001.0,2.0,6913,1000000000,False,0,0,0,115431,79440,50855,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe2b12d0f0ce68302c564ec85a5cf7640583a9cf878d8ac3d467d8cab178e90e,OPTIMAL,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,1.069007782061628,3111920.0,20867,236494,632852,2956918,774505293,240882484,3149,97811,236494,193920,1.0,191,172720,2000000001.0,2.0,6906,1000000000,False,0,0,0,109162,76936,49669,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b14c571a562972071899d8eb08ed99fa4dfc944eedf4613632bbc2008ae90e23,OPTIMAL,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,0.8756390854867613,1873900.0,20844,233581,738946,2570390,1196466883,267712424,3140,96549,233581,190803,1.0,191,170807,2000000001.0,2.0,6890,1000000000,False,0,0,0,107019,76425,49410,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdc476dfd87c9b11d9a46dc7e8aeaa0f3efa9708cac0093587abb35f1228ffe0,OPTIMAL,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,0.7970804353527665,1549180.0,20830,233076,443078,1855860,634174655,156622140,2195,96350,233076,190326,1.0,191,170682,2000000001.0,2.0,6883,1000000000,False,0,0,0,106908,76224,49217,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f84583fd6d8cd9e732ba4f0c0922ce8935d1ef2820ebbd9fe01a87ec3121746,OPTIMAL,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,0.7969822465157113,6436.58,1979,21981,436,9745,599806,293690,3,9224,21981,17517,1.0,26,15062,2000000001.0,2.0,828,1000000000,False,0,0,0,9343,7511,5023,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
073ef8ba3455034f551b19285f0e25708263e1fbe2bbb1bbcdeb5bc650889151,OPTIMAL,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,0.7818373624636896,1496560.0,20830,233100,531653,2141669,773533294,191884649,2587,96362,233100,190350,1.0,191,170682,2000000001.0,2.0,6883,1000000000,False,0,0,0,106908,76236,49229,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e5aa4016ad68c0efd86e36186d0de0f5d8c69fc9d27fdd2b3976e26905325de,OPTIMAL,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,0.773978648305965,1482010.0,20844,233557,548234,2019729,788206057,178268283,2288,96537,233557,190779,1.0,191,170807,2000000001.0,2.0,6890,1000000000,False,0,0,0,107019,76413,49398,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
