problem_sha256,applied_params_hash,status,elapsed_ms,num_variables,num_bool,num_int,num_constraints,num_workers,num_conflicts,num_branches,deterministic_time
0072ac8710594a94dcd7c8c2c6823756922cac11f5c15b2e655b9b081bedf6bc,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,6896.45,4352,2861,1491,51623,8,3843,79884,15.5139
018944a5119d79b5bdb7d0f820725cb3e77a31d5a38971d95a209aada532a096,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1619.97,2565,1783,782,28940,8,6524,31795,3.34384
024c5d8184d58d42edd90236a3922645eb1d0d94f1691afc6068b1d66a87ac5a,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,2818.52,1977,1377,600,22871,8,466,10294,1.87483
0324fb5c1ded91eeb6343304c5b7ec103f1475463de93455f7e05db48fc927e9,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3153.47,4053,2932,1121,44889,8,2310,45318,6.42205
03290f094ddaee42319d3fce34ebe0773ab0c7b9178d512c34a7a674fa6df88b,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,4071.48,2199,1403,796,25969,8,10692,110220,5.38499
053c5aa97705ce165e112c926e29a13534fbff557d9b76ed1a39c7e200ca3dbe,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,1757.49,2736,1938,798,30419,8,752,13177,1.81954
064e7f90eab7005c302ae3626c590ea2ea39dbf29fbfe2e34ce291c2df2ce620,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,3432.26,2583,1793,790,30380,8,719,18056,3.00165
06fbcfd06f4072d8d6f383d95876de2effc910f204c4919171cc0133cc4c61b9,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,5832.93,3243,2301,942,36071,8,6222,47499,5.09695
072937c5444c0281a85dd5a43662dc4191d5103b014c7ff6a20acb50e48d8db2,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,651.086,1856,1264,592,20575,8,326,9895,0.978946
073ef8ba3455034f551b19285f0e25708263e1fbe2bbb1bbcdeb5bc650889151,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1496560.0,20830,16429,4401,233100,8,531653,2141669,5148.16
07455570bdf201ce07c60133a216975122a176ca884afa8c1807cb3f4dbdf806,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,2408.23,2583,1793,790,28808,8,806,17531,1.88466
0776535f7fe277d05332ab5ee5a53406868e0bbca6f2b620ff23da961bc074a6,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,76005.7,11130,8496,2634,126364,8,21705,179333,96.2732
083beb025bc59908b1bdace2fac047f8f204cdb3fc4f947c0af0327a928abdcf,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,686113,17058,13335,3723,190773,8,210392,952603,1489.62
0976039f182f3d2a82c23ebc237b080434e5f24b43329696d42000dc1865231e,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,19431.4,5306,3673,1633,62598,8,18082,110936,28.5748
09b3336890b5addd1fa433349acab7d0176679c2f186defa993924904829995b,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,2863.91,3239,2301,938,35861,8,973,27904,5.14864
0a450b93bbd0545e214c9a793193351e259a1e32771d669a198d0fba1efb72cf,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,791.232,1975,1377,598,21682,8,618,9748,1.17229
0a65b64b80dcebb76c352dc449f577b4714d5ecc4a7ab1636d9e5af952bea067,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,11540.4,4117,2621,1496,49739,8,3451,61663,14.9515
0aacd1b2a9a7a61f87d99ef0728de2625def376d3645fe070371a3420c7a589a,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3376.2,3920,2783,1137,44084,8,1006,39304,6.19883
0b5a5d8fe6093b3e6c45425af340542f2a3bd34542ee682b454a49b4aa67705c,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,21570,5306,3673,1633,59452,8,20491,154670,39.738
0bee8fdc0a4660e484baf6cff49eabb8f4a2c3168c967946e6db71687d0511bc,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,15283.6,5306,3673,1633,62598,8,11744,95041,21.2578
0c68f43a998e91f6c74281e46e857667f366541be2284fd71fc4c1ffd82996a5,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,3163.12,2350,1548,802,28441,8,332,15805,2.86989
0ccee639439a7f01de07d3403b825b7544b7f26135afdff0360ce08772e3dcff,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3179.9,3309,2177,1132,38578,8,592,29758,5.42069
0cf8551fd210cf5de103cc4a8d940381b56720edb72d5d99de9b58aa2f2569ae,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,8478.85,5099,3604,1495,58973,8,1828,60444,8.28154
0f76b306846b01e1e74c68b600f2ba9fe1e5d46af433f651fa2f0ce318f7727f,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,1793.37,1979,1377,602,21981,8,421,9067,1.30256
0f9d15a24c955761f758c013de78aff07607ff19742191782f36b8c2fae2168d,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,3133.96,3220,2288,932,36135,8,5755,41690,6.06757
101813dbc2cd82c9225e1d67ae8811a9df8e03a45923d78f1d21c83cb40e3dfa,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,5920.07,4058,2932,1126,47233,8,1675,41046,5.62571
11aca2d6d83b06bda52d2422b0e2b6b838e96a546f38dc6ebc30ac2e06d5a4e9,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,3212.64,2729,1936,793,32083,8,1944,23123,3.16658
126d36a0c356addecc5d63023bcb7bc80dea30317e5aba3571793a5c61ebaf9c,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,956.451,1766,1167,599,20139,8,688,11031,0.823945
12e68b0b5089d173f44977d0bc3a9a85c4639b3691b74fce9d76d473e3231d38,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,4031.48,4352,2861,1491,51623,8,1735,58712,8.22221
146c661d0892f93dc45fe43d3bdf5e9dac1b905efe3b42cd4d7e009969203e29,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,8340.34,5366,3525,1841,67205,8,2182,67141,7.58171
14e56e8a3ffccdd8d7dee84a4b0c7beff6e12fcc60194b80f09f4f7d76cada03,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,11915,5310,3673,1637,59718,8,9685,111280,22.8773
14ea5ccece18b8bffb5947b963c7d0f9e5a2f1c56d1ccd70e1493be39380ba78,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,4358.96,4582,3316,1266,51584,8,2446,59082,8.16986
168f8a25314745f152b4c4d27441a8a1d4c98e6b6fef5fe601d482eab77bafd5,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,7334.94,5109,3610,1499,61718,8,1881,53873,7.7169
16ddfc872fb328839f72f9bd7d6d59da1d99fd679081747c6254398c487fb1dc,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,639.354,1670,1070,600,19247,8,264,9558,0.780845
184cec13061b02fc944b3ee3d77582c469339ff6a52e0dc4a832626fd13442fd,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,9272.03,5310,3673,1637,59718,8,7031,70527,16.1077
19248a80fe2178fd62092756a8cc72ade4d6558a05e6b272bc0f5a48812762ed,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,5989.49,5277,3652,1625,58767,8,2626,63032,8.33573
19935b04b1afdc8890b51f69ff535944eee70782e95845e9762310d6aa40eec1,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,579.064,1236,794,442,13884,8,305,4852,0.491991
1a1c06a66af7443f6136b4ba851fd267ab7fff909953005391a5e81fc0a57af0,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1500.26,2731,1941,790,30201,8,633,15281,2.17348
1ad17a6edd2a5346387af674a30925c64333696d3516ead1e2523db8f70164f2,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,6436.84,4046,2924,1122,44899,8,1543,44055,6.42034
1b7b53e5826b74b03f9dc2164811a7f976f22d2cfe33eafa2359179b8a91b6f0,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,1075.14,1860,1264,596,20792,8,472,9986,1.00964
1bbeb46bf12047759193db1b6d07e587c7274c1c0b7623c1f146535eb7920965,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,4447.05,3226,2288,938,36510,8,2759,36801,6.49673
1bcfca2846ceffabd1af6106173e4ac515273c3cd36e3f223a7a622745a941ad,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,1852.25,2325,1530,795,26394,8,560,15937,1.41769
1c4137672b9f46074a8bea1111d80bb4049b3297d0b47be31ce79efd1df60327,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,2781.61,2325,1530,795,27378,8,430,15591,2.72813
1cbb4fb20584a2df3ff85a980e992daccf8381fb6da66657c08a35a9f6f61fe3,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,5391.62,3243,2301,942,37775,8,1172,28223,5.21599
1da421e660098ad22f7cf645e4955a7d621856372d3d89ace5722c48699b9b5d,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,623.536,1856,1264,592,20594,8,302,9945,0.856701
1dbf42ee67c4b55c5a86c29d821e82932d84939a718d266e518494e0ffd44caf,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,2326.58,2735,1941,794,30473,8,851,12692,1.78377
1e97b710f28cc2ce69da71bcd101dcb4bd35a9030f0a0b6d1955e36a58b0b65b,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,12651.7,8580,6402,2178,94129,8,9916,105448,40.5777
1f71e23e551c8ed60353acbeaeb177c66d93eba8dd1d4127d654ea0aa634ce54,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,7400.86,5354,3525,1829,63693,8,4016,100243,16.5819
202fbcb0eaf3a2173b0d1f86dc29d0d1f31403f91ef9ffc3b4539a004d4291d0,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,3024.07,1674,1070,604,20236,8,310,10067,2.45745
21b4ac699ad2cbd802516f108e297eae44fcaa4fa6917198659e3bf8d0f2324b,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1752.13,2730,1938,792,30076,8,1102,17773,2.87432
2370931b8c81ddd151a53b0df69696c2453222fb8710bd50c12646f411267648,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,473.166,1325,878,447,14241,8,187,4573,0.369579
25142c3ac9e62f0301845be186d7838f243977b50106dcdb7b7269608537967d,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,16208.8,5366,3525,1841,64265,8,4652,95995,16.4779
256f7a0f25c2590dd389f9974a8fb93c3d0b1d4b98149a7b04e290b770a21d17,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,7271.21,5298,3673,1625,59077,8,12081,81515,23.7767
26f1613b2617a48822770702a0bbac8cc1c0384a271769c883357b944c5ebe8a,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,182.409,715,461,254,7651,8,0,0,0.0310824
26f53ed6235393586f5beac50e9c02ddb551c8112f394470fa9f3c1764d3c5b0,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,856786,17076,13341,3735,192805,8,218233,1168305,1441.38
27507e95cd8529c2ce7e9fcadb691f9c84506e44508d53f94b13bfaa503d7763,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,45439.7,8588,6402,2186,97536,8,23149,144434,64.4278
27a639ae4f3c7b232b758f7a4b7a8193bbdf2375bc6ad9f0ed832df3259ed18c,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1373.64,1860,1266,594,20658,8,419,10594,1.17965
2915f65a6cfc4ccf2288beea5e5ebb3d1feee0493a7b8fb1b0bbe6115110f04c,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,10447,7837,5854,1983,85434,8,11186,96516,32.4593
2a397e2e9ffb11e6b1bdd4bd271d454a5d960113f85ee54f45618eca730a98b2,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,4173.09,3243,2301,942,36127,8,843,26130,4.73902
2a3d88962c8df3c83dccaa767c32c47d92ce214b908873271a271a052038d528,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,540.252,1316,869,447,14599,8,183,4384,0.336128
2a6fe0572eb447f61b2b572c3baf70606f1ce4104009bbe1ecf2db6e0554834a,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,5430.81,3313,2177,1136,38711,8,578,29008,4.12991
2abe830de840839cc8700da827e94f67e8231e6dbc5fdba2042dc0a5cfc022ff,56ab92f31c63b342e524772e52db2f544c639d6e4bcc0ce661f062ed31738024,OPTIMAL,1961.23,3094,2149,945,33706,8,4561,34650,2.96945
2b23fb6ce337942ebf3b5f99dddf477b2018725b28bccdc7e9a216501a3e1be8,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,89192,10404,7751,2653,121524,8,35393,255576,143.2
2b46c9bcb4db1d88bc5550d8ed871f0057565ff847c85dc046ff6685df86097d,fadf9341e734c7807e8d86051974b880b382afc02505113658a5a3965eda0f3c,OPTIMAL,6416.71,4058,2932,1126,45101,8,2508,46309,7.0559
